,content_id,autor,title,seccion,tag1,fecha,PageViews,Usuarios,Suscriptos,Choques,Altas
0,VcxSbsfp8,Alejandro Borensztein,Educando a Máximo,Opinión,Corrupción K,2020-12-05,141830,36418,25541,9528,17
1,IL3Lg7yIA,Alejandro Borensztein,10 de diciembre hay uno solo,Opinión,Raúl Alfonsín,2020-12-12,87766,32558,24462,7131,48
2,I4mgU3BtK,Alejandro Borensztein,Que sigan los éxitos,Opinión,Pandemia,2020-12-26,113134,33948,25363,8279,28
3,lNO8k8Aet,Alejandro Borensztein,Estamos en las mejores manos,Opinión,Alberto Fernández,2020-12-19,84469,31294,24442,6707,29
